"id";"name";"country";"logo";"short_code";"detail_url"
177;"St. Kitts and Nevis";"St. Kitts and Nevis";"https://api.fifa.com/api/v1/picture/flags-sq-4/skn";"SKN";"https://www.fifa.com/associations/association/SKN"
178;"St. Lucia";"St. Lucia";"https://api.fifa.com/api/v1/picture/flags-sq-4/lca";"LCA";"https://www.fifa.com/associations/association/LCA"
179;"St. Vincent and the Grenadines";"St. Vincent and the Grenadines";"https://api.fifa.com/api/v1/picture/flags-sq-4/vin";"VIN";"https://www.fifa.com/associations/association/VIN"
180;"Sudan";"Sudan";"https://api.fifa.com/api/v1/picture/flags-sq-4/sdn";"SDN";"https://www.fifa.com/associations/association/SDN"
181;"Suriname";"Suriname";"https://api.fifa.com/api/v1/picture/flags-sq-4/sur";"SUR";"https://www.fifa.com/associations/association/SUR"
182;"Sweden";"Sweden";"https://api.fifa.com/api/v1/picture/flags-sq-4/swe";"SWE";"https://www.fifa.com/associations/association/SWE"
183;"Switzerland";"Switzerland";"https://api.fifa.com/api/v1/picture/flags-sq-4/sui";"SUI";"https://www.fifa.com/associations/association/SUI"
184;"Syria";"Syria";"https://api.fifa.com/api/v1/picture/flags-sq-4/syr";"SYR";"https://www.fifa.com/associations/association/SYR"
185;"Tahiti";"Tahiti";"https://api.fifa.com/api/v1/picture/flags-sq-4/tah";"TAH";"https://www.fifa.com/associations/association/TAH"
186;"Tajikistan";"Tajikistan";"https://api.fifa.com/api/v1/picture/flags-sq-4/tjk";"TJK";"https://www.fifa.com/associations/association/TJK"
187;"Tanzania";"Tanzania";"https://api.fifa.com/api/v1/picture/flags-sq-4/tan";"TAN";"https://www.fifa.com/associations/association/TAN"
188;"Thailand";"Thailand";"https://api.fifa.com/api/v1/picture/flags-sq-4/tha";"THA";"https://www.fifa.com/associations/association/THA"
189;"Timor-Leste";"Timor-Leste";"https://api.fifa.com/api/v1/picture/flags-sq-4/tls";"TLS";"https://www.fifa.com/associations/association/TLS"
190;"Togo";"Togo";"https://api.fifa.com/api/v1/picture/flags-sq-4/tog";"TOG";"https://www.fifa.com/associations/association/TOG"
191;"Tonga";"Tonga";"https://api.fifa.com/api/v1/picture/flags-sq-4/tga";"TGA";"https://www.fifa.com/associations/association/TGA"
192;"Trinidad and Tobago";"Trinidad and Tobago";"https://api.fifa.com/api/v1/picture/flags-sq-4/tri";"TRI";"https://www.fifa.com/associations/association/TRI"
