codigo_pais,logo_url,logo_url,logo_url,Pais,pais_id,region_id
GEO,https://api.fifa.com/api/v1/picture/flags-sq-4/geo,https://api.fifa.com/api/v1/picture/flags-sq-4/geo,https://api.fifa.com/api/v1/picture/flags-sq-4/geo,Georgia,07f0fb96-08c8-4269-81e0-a132f0179c23,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
GER,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,Germany,330e3049-b95b-4ffa-8b2c-d0a743f16b8a,f5108bc2-6414-428d-afa8-7f6d4c02d153
GHA,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,https://api.fifa.com/api/v1/picture/flags-sq-4/gha,Ghana,c55d349d-3848-4fb6-8e4f-6e6569e11155,180c304e-079d-4845-95e1-c2a3976914c0
GIB,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,https://api.fifa.com/api/v1/picture/flags-sq-4/gib,Gibraltar,40ce066d-b7eb-4e8b-8e38-43a320e72b51,f5108bc2-6414-428d-afa8-7f6d4c02d153
GNB,https://api.fifa.com/api/v1/picture/flags-sq-4/gnb,https://api.fifa.com/api/v1/picture/flags-sq-4/gnb,https://api.fifa.com/api/v1/picture/flags-sq-4/gnb,Guinea-Bissau,f01d3f1d-ddf9-4cac-869f-8b60275b4b1d,180c304e-079d-4845-95e1-c2a3976914c0
GRE,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,https://api.fifa.com/api/v1/picture/flags-sq-4/gre,Greece,50812c3e-fc07-46da-a15f-eecb50ac5437,f5108bc2-6414-428d-afa8-7f6d4c02d153
GRN,https://api.fifa.com/api/v1/picture/flags-sq-4/grn,https://api.fifa.com/api/v1/picture/flags-sq-4/grn,https://api.fifa.com/api/v1/picture/flags-sq-4/grn,Grenada,f73f1d75-d694-4760-b076-97f277410f99,299297c1-0ff6-400f-a711-e0f9505e6d01
GUA,https://api.fifa.com/api/v1/picture/flags-sq-4/gua,https://api.fifa.com/api/v1/picture/flags-sq-4/gua,https://api.fifa.com/api/v1/picture/flags-sq-4/gua,Guatemala,ed8c064e-fa7d-4136-966c-e5aab0d14bf0,299297c1-0ff6-400f-a711-e0f9505e6d01
GUI,https://api.fifa.com/api/v1/picture/flags-sq-4/gui,https://api.fifa.com/api/v1/picture/flags-sq-4/gui,https://api.fifa.com/api/v1/picture/flags-sq-4/gui,Guinea,c29d2053-5c36-4d96-b60f-9a2e3f1ce45f,180c304e-079d-4845-95e1-c2a3976914c0
GUM,https://api.fifa.com/api/v1/picture/flags-sq-4/gum,https://api.fifa.com/api/v1/picture/flags-sq-4/gum,https://api.fifa.com/api/v1/picture/flags-sq-4/gum,Guam,03a8c6d6-b94f-47ef-b97a-60c2c1882a42,7ac257e8-e9b0-40a0-9371-5dc58e38ffba
GUY,https://api.fifa.com/api/v1/picture/flags-sq-4/guy,https://api.fifa.com/api/v1/picture/flags-sq-4/guy,https://api.fifa.com/api/v1/picture/flags-sq-4/guy,Guyana,5352f895-d308-49f7-9c3f-180c3c97ade0,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
HAI,https://api.fifa.com/api/v1/picture/flags-sq-4/hai,https://api.fifa.com/api/v1/picture/flags-sq-4/hai,https://api.fifa.com/api/v1/picture/flags-sq-4/hai,Haiti,4a8d56c8-e307-45a0-b478-4408c3a4d66b,299297c1-0ff6-400f-a711-e0f9505e6d01
HKG,https://api.fifa.com/api/v1/picture/flags-sq-4/hkg,https://api.fifa.com/api/v1/picture/flags-sq-4/hkg,https://api.fifa.com/api/v1/picture/flags-sq-4/hkg,Hong Kong,d4ac0bee-61e3-4ac2-b844-1ad08edb25e1,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
HON,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,Honduras,3b960bdd-6ad2-4e13-b79c-a9e5bf706af6,299297c1-0ff6-400f-a711-e0f9505e6d01
HUN,https://api.fifa.com/api/v1/picture/flags-sq-4/hun,https://api.fifa.com/api/v1/picture/flags-sq-4/hun,https://api.fifa.com/api/v1/picture/flags-sq-4/hun,Hungary,f3a45033-f804-4060-aa88-57908940844b,f5108bc2-6414-428d-afa8-7f6d4c02d153
IDN,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,https://api.fifa.com/api/v1/picture/flags-sq-4/idn,Indonesia,bd7cb35c-ae16-4102-a8bc-ae705c5cbdf5,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
IND,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,https://api.fifa.com/api/v1/picture/flags-sq-4/ind,India,58569d1e-be85-4549-8f7f-9c9833f0894c,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
IRL,https://api.fifa.com/api/v1/picture/flags-sq-4/irl,https://api.fifa.com/api/v1/picture/flags-sq-4/irl,https://api.fifa.com/api/v1/picture/flags-sq-4/irl,Republic of Ireland,6830143a-388c-4869-bc45-1b4c4d4695a3,f5108bc2-6414-428d-afa8-7f6d4c02d153
IRN,https://api.fifa.com/api/v1/picture/flags-sq-4/irn,https://api.fifa.com/api/v1/picture/flags-sq-4/irn,https://api.fifa.com/api/v1/picture/flags-sq-4/irn,IR Iran,9ac152fa-2100-4899-8d41-d0197134e237,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
